customerID,orderdetailID,method,paymentDate
M0XD0012,ER170,Master Card,3/3/2021
M0XD0013,ER171,Master Card,3/3/2021
M0XD0014,ER172,Master Card,3/3/2021
M0XD0015,ER174,Master Card,3/3/2021
M0XD0016,ER175,Master Card,3/3/2021
M0XD0017,ER177,Visa Card ,3/4/2021
M0XD0018,ER178,Visa Card ,3/4/2021
M0XD0019,ER179,Visa Card ,3/4/2021
M0XD0020,ER180,Mobile Payment,3/5/2021
M0XD0021,ER181,Mobile Payment,3/5/2021
M0XD0022,ER183,Master Card,3/5/2021
M0XD0023,ER184,Visa Card ,3/5/2021
M0XD0024,ER185,Visa Card ,3/6/2021
M0XD0025,ER186,Master Card,3/6/2021
M0XD0026,ER190,Mobile Payment,3/6/2021
M0XD0027,ER193,Mobile Payment,3/6/2021
M0XD0028,ER194,Mobile Payment,3/6/2021
M0XD0029,ER197,Visa Card ,3/11/2021
M0XD0030,ER199,Visa Card ,3/11/2021
M0XD0031,ER201,Master Card,3/11/2021
M0XD0032,ER202,Master Card,3/11/2021
M0XD0033,ER203,Visa Card ,3/16/2021
M0XD0034,ER204,Mobile Payment,3/16/2021
M0XD0035,ER205,Visa Card ,3/17/2021
M0XD0036,ER206,Master Card,3/18/2021
M0XD0037,ER209,Mobile Payment,3/19/2021
M0XD0038,ER211,Mobile Payment,3/20/2021
M0XD0039,ER214,Visa Card ,3/21/2021
M0XD0040,ER215,Master Card,3/22/2021
M0XD0041,ER217,Visa Card ,3/22/2021
M0XD0042,ER219,Master Card,3/22/2021
M0XD0043,ER221,Visa Card ,3/22/2021
M0XD0044,ER222,Master Card,3/22/2021
M0XD0045,ER224,Mobile Payment,3/23/2021
M0XD0046,ER226,Mobile Payment,3/23/2021
M0XD0047,ER227,Master Card,3/24/2021
M0XD0048,ER228,Visa Card ,3/25/2021
M0XD0049,ER230,Visa Card ,3/26/2021
M0XD0050,ER233,Mobile Payment,3/27/2021
M0XD0051,ER234,Visa Card ,3/28/2021
M0XD0052,ER235,Master Card,3/29/2021
